seed,channel,calibrated,parameter,truth,posterior_mean,posterior_sd,q025,q975,relative_bias,covered_95,covered_50,interval_width_95,max_r_hat,min_ess_bulk,divergences,divergence_rate,seconds
0,search,True,roas,2.1332767600169937,1.8221377043150233,0.3623634556826403,1.111692172369907,2.5437605353473334,-0.1458503001267833,True,False,1.4320683629774265,1.01,294.0,7,0.007,147.17465996742249
0,search,True,half_saturation,1.2070464463089443,1.8536204345497393,0.7255897315229213,1.0040878734247987,3.8499741050205407,0.5356662042442267,True,False,2.845886231595742,1.01,294.0,7,0.007,147.17465996742249
0,search,True,beta,0.25993433433518687,0.2770556550037305,0.05815484394554636,0.1832516019147916,0.4151981010908632,0.06586786894595316,True,True,0.2319464991760716,1.01,294.0,7,0.007,147.17465996742249
0,search,True,slope,1.1,1.1690822981912081,0.2534745782541906,0.7743172320320161,1.7635384693569918,0.06280208926473457,True,True,0.9892212373249757,1.01,294.0,7,0.007,147.17465996742249
0,search,True,decay,0.15,0.11695298022652059,0.05299457769542418,0.023430635471897207,0.23345316487845647,-0.22031346515652936,True,False,0.21002252940655924,1.01,294.0,7,0.007,147.17465996742249
0,social,True,roas,1.965134793134381,2.110575883816719,0.3138906849795497,1.5081339659631492,2.738443549699117,0.07401074531399443,True,True,1.2303095837359679,1.01,294.0,7,0.007,147.17465996742249
0,social,True,half_saturation,1.2595173608552923,1.4882229061868422,0.6219520786848599,0.8691173928605166,3.1246361661925413,0.1815818919528384,True,True,2.2555187733320246,1.01,294.0,7,0.007,147.17465996742249
0,social,True,beta,0.18995201355263655,0.21467406365290856,0.0428156855650034,0.15055728115626976,0.32393606384040674,0.13014892360391547,True,True,0.17337878268413698,1.01,294.0,7,0.007,147.17465996742249
0,social,True,slope,1.4,1.2686889956012342,0.28358618919313194,0.8125997804822318,1.8977547531651917,-0.09379357457054698,True,True,1.08515497268296,1.01,294.0,7,0.007,147.17465996742249
0,social,True,decay,0.45,0.3866895080244192,0.0812041724002459,0.2281641449174364,0.5308366453345789,-0.14068998216795733,True,False,0.30267250041714244,1.01,294.0,7,0.007,147.17465996742249
0,video,False,roas,1.5807993181671405,2.366283528636279,0.748648071659092,1.2166954412151143,4.107382888098613,0.49689052964665303,True,False,2.8906874468834984,1.01,294.0,7,0.007,147.17465996742249
0,video,False,half_saturation,1.697346795148341,1.877202777026361,0.8168786384421775,0.8459101703200477,3.9640567332551324,0.10596301380019482,True,True,3.1181465629350846,1.01,294.0,7,0.007,147.17465996742249
0,video,False,beta,0.12996716716759343,0.18707732388258638,0.046916551562959964,0.11067404433756849,0.29170450158703143,0.43941987780151476,True,False,0.18103045724946293,1.01,294.0,7,0.007,147.17465996742249
0,video,False,slope,1.8,1.4230952570894195,0.39313699916402,0.8300531526676247,2.325260960863488,-0.2093915238392114,True,False,1.4952078081958633,1.01,294.0,7,0.007,147.17465996742249
0,video,False,decay,0.65,0.622425460786931,0.04437973036715401,0.5290976985325582,0.7049221668955807,-0.04242236802010626,True,True,0.17582446836302257,1.01,294.0,7,0.007,147.17465996742249
0,tv,False,roas,1.0000804284619296,1.1454162315124095,0.24370870947971346,0.826661252153079,1.73060939952725,0.14532411485544078,True,True,0.9039481473741711,1.01,294.0,7,0.007,147.17465996742249
