seed,channel,calibrated,parameter,truth,posterior_mean,posterior_median,posterior_sd,q025,q975,relative_bias,relative_bias_median,covered_95,covered_50,interval_width_95,max_r_hat,min_ess_bulk,divergences,divergence_rate,seconds
0,search,False,roas,2.1332767600169937,1.7054128045376196,1.6402247349074648,0.47239891762331004,0.9802078453033591,2.793721046420923,-0.20056654790350117,-0.2311242658948768,True,False,1.8135132011175636,1.01,443.0,3,0.003,58.92620897293091
0,search,False,half_saturation,1.2070464463089443,2.243710846795926,1.9344620090505238,1.1526717788658547,1.0971137743092854,5.3567717056623225,0.8588438362558641,0.6026409049676262,True,False,4.259657931353037,1.01,443.0,3,0.003,58.92620897293091
0,search,False,beta,0.25993433433518687,0.28841495733736017,0.27586675260422105,0.0756812600290239,0.17510467842209212,0.4710583908337585,0.10956853035600664,0.061294012234987164,True,True,0.29595371241166635,1.01,443.0,3,0.003,58.92620897293091
0,search,False,slope,1.1,1.1778680510617374,1.1390784021122828,0.30097914991341734,0.7127989741193044,1.878359577035623,0.07078913732885211,0.03552582010207522,True,True,1.1655606029163186,1.01,443.0,3,0.003,58.92620897293091
0,search,False,decay,0.15,0.11596849938633706,0.11132081446650857,0.05511474335450568,0.02215349722438184,0.2328209390422015,-0.2268766707577529,-0.25786123688994284,True,True,0.21066744181781966,1.01,443.0,3,0.003,58.92620897293091
0,social,False,roas,1.965134793134381,1.9444681067283591,1.857308638682766,0.6345535741257935,0.9685817122775945,3.402226562623821,-0.010516676249499712,-0.054869597153502536,True,True,2.4336448503462265,1.01,443.0,3,0.003,58.92620897293091
0,social,False,half_saturation,1.2595173608552923,1.6610081625227866,1.4556181616348776,0.8647462359731589,0.7801859938966141,3.520884493899095,0.31876559557293954,0.15569519474223073,True,True,2.740698500002481,1.01,443.0,3,0.003,58.92620897293091
0,social,False,beta,0.18995201355263655,0.2107385658587524,0.20458971466924047,0.059370662361926355,0.12129142168526524,0.35259134107714607,0.10943054467993725,0.07705999448406875,True,True,0.23129991939188083,1.01,443.0,3,0.003,58.92620897293091
0,social,False,slope,1.4,1.3562977281654256,1.2884189945850744,0.3989006723864459,0.7539861084939482,2.271819419494416,-0.03121590845326737,-0.07970071815351826,True,True,1.5178333110004676,1.01,443.0,3,0.003,58.92620897293091
0,social,False,decay,0.45,0.3839660705527035,0.3852262308847566,0.08048877632274176,0.22305612092014446,0.5283091150563882,-0.1467420654384367,-0.14394170914498536,True,False,0.30525299413624374,1.01,443.0,3,0.003,58.92620897293091
0,video,False,roas,1.5807993181671405,2.3955680478992174,2.270749834501239,0.760379036087,1.2456464700751462,4.185801040910589,0.5154156636888998,0.4364567395778375,True,False,2.940154570835443,1.01,443.0,3,0.003,58.92620897293091
0,video,False,half_saturation,1.697346795148341,1.9934216505817153,1.7429139578212656,0.9738489919430876,0.9065477119015845,4.651797837238248,0.17443392020986412,0.02684611229901443,True,True,3.7452501253366632,1.01,443.0,3,0.003,58.92620897293091
0,video,False,beta,0.12996716716759343,0.19591355592534054,0.18720362064919222,0.05676941185161392,0.11105431588750664,0.3323962338017126,0.5074080646284215,0.44039163681849,True,False,0.221341917914206,1.01,443.0,3,0.003,58.92620897293091
0,video,False,slope,1.8,1.3818275729513083,1.312588371325969,0.4017483004191819,0.7990374057542208,2.303298482482413,-0.23231801502705096,-0.2707842381522395,True,False,1.5042610767281923,1.01,443.0,3,0.003,58.92620897293091
0,video,False,decay,0.65,0.6241811065458417,0.6279051124011796,0.04474175613747465,0.531398706237102,0.7011314940200521,-0.03972137454485897,-0.033992134767415985,True,True,0.1697327877829502,1.01,443.0,3,0.003,58.92620897293091
0,tv,False,roas,1.0000804284619296,1.1868404973981495,1.1303212556054585,0.25994219828460435,0.8504107210534413,1.8853678014794766,0.1867450493191302,0.1302303529165473,True,False,1.0349570804260353,1.01,443.0,3,0.003,58.92620897293091
0,tv,False,half_saturation,4.50189008263325,5.640968012551114,5.046421206435456,2.348045081928016,3.0988642746874713,11.873793767886761,0.25302215491933855,0.12095611261208275,True,True,8.77492949319929,1.01,443.0,3,0.003,58.92620897293091
0,tv,False,beta,0.1549608531613614,0.20707362816475242,0.18909468204853924,0.07877813754102013,0.12105658966188783,0.4064589936693328,0.33629638673404666,0.2202738833118977,True,False,0.285402404007445,1.01,443.0,3,0.003,58.92620897293091
0,tv,False,slope,2.0,1.8261178389940678,1.7677203033084734,0.4673984423919174,1.0956147515753576,2.9023172661873975,-0.08694108050296612,-0.1161398483457633,True,True,1.80670251461204,1.01,443.0,3,0.003,58.92620897293091
0,email,False,roas,4.2642139315692,2.4108423197682964,2.0883227763735412,1.4262917181989658,0.5434118698581394,6.0706476418181685,-0.4346338250245518,-0.5102678219511718,True,False,5.527235771960029,1.01,443.0,3,0.003,58.92620897293091
0,email,False,half_saturation,1.197863200727333,2.0344554750385853,1.5785402570611495,1.5690730189150943,0.49289262291466157,6.364764352304649,0.6984038526296491,0.3177967702010316,True,True,5.871871729389987,1.01,443.0,3,0.003,58.92620897293091
0,email,False,beta,0.04748800338815914,0.039300609046187984,0.03192702557606983,0.036453795834824325,0.007042136346258293,0.11027698896300628,-0.1724097405201212,-0.32768229240754626,True,True,0.10323485261674799,1.01,443.0,3,0.003,58.92620897293091
0,email,False,slope,1.0,1.4267702324176512,1.3596417677183101,0.4659277063242163,0.7427023154760803,2.5607109221687905,0.4267702324176512,0.35964176771831013,True,False,1.8180086066927101,1.01,443.0,3,0.003,58.92620897293091
